,Label,MBI,MNDWI,NDVI,SAVI
5,5,0.155836,-0.00245248,0.0796563,0.11948
5,5,0.163777,0.0551652,0.0237541,0.0356301
5,5,0.15493,0.047619,0.042023,0.0630326
5,5,0.149755,-0.0132374,0.0891189,0.133674
5,5,0.166347,-0.0136804,0.0704534,0.105677
5,5,0.166254,0.018962,0.0375263,0.0562878
5,5,0.17457,0.0313086,0.0338531,0.0507778
5,5,0.175993,-0.0105364,0.0785586,0.117833
5,5,0.1562,0.0633024,0.0245042,0.0367551
5,5,0.159646,-0.0449474,0.118644,0.177957
5,5,0.161347,0.00438312,0.0725937,0.108886
5,5,0.166895,0.0237946,0.0411106,0.061664
5,5,0.166578,0.0223116,0.0377761,0.0566624
5,5,0.161625,0.00390158,0.0532388,0.079855
5,5,0.15756,0.0816081,0.0,0.0
5,5,0.156567,0.0679693,0.0117051,0.0175572
5,5,0.163358,-0.0240513,0.0995494,0.149318
5,5,0.161007,0.073138,0.00924687,0.0138699
5,5,0.161383,0.0505249,0.0240519,0.036077
5,5,0.159475,0.0528843,0.0297105,0.0445645
5,5,0.167568,-0.0595995,0.116693,0.175033
5,5,0.149323,-0.0963587,0.167452,0.251168
5,5,0.161043,-0.0483471,0.102712,0.154063
5,5,0.156376,0.0258253,0.0505012,0.0757493
5,5,0.156456,0.0306281,0.0395942,0.0593894
5,5,0.156971,0.0148592,0.0589571,0.0884325
5,5,0.154133,-0.0252568,0.0916296,0.137439
5,5,0.156817,0.010174,0.0609219,0.0913796
5,5,0.161222,0.0622402,0.0169385,0.025407
5,5,0.165142,0.0375092,0.0274729,0.0412081
5,5,0.150089,0.0117266,0.0670395,0.100556
5,5,0.156416,0.0730717,0.0141778,0.0212661
5,5,0.164254,0.029769,0.0388024,0.0582018
5,5,0.160577,0.0529609,0.0208529,0.0312785
5,5,0.158163,0.0158053,0.049108,0.0736597
5,5,0.15103,-0.0367157,0.13264,0.198951
5,5,0.150133,0.00465116,0.0851562,0.127729
5,5,0.164259,0.0382695,0.0493912,0.074084
5,5,0.148539,0.0316982,0.0476851,0.0715251
5,5,0.156904,-0.0141838,0.100964,0.15144
5,5,0.157206,0.0292787,0.0500604,0.0750883
5,5,0.155613,0.0575174,0.0259196,0.0388782
5,5,0.156392,0.0246457,0.063435,0.0951494
5,5,0.15739,0.0572636,0.0301618,0.0452414
5,5,0.155279,0.0377542,0.0466593,0.0699869
5,5,0.157622,0.0457865,0.0303981,0.0455957
5,5,0.155033,0.0153024,0.0672564,0.100881
5,5,0.161229,0.028767,0.0485752,0.0728605
5,5,0.173204,0.0057931,0.0645592,0.0968355
5,5,0.157595,0.0279073,0.0427904,0.0641836
5,5,0.157781,0.0355441,0.0474667,0.0711978
5,5,0.159578,0.0224719,0.0642667,0.0963967
5,5,0.150468,0.128103,-0.00915741,-0.0137357
5,5,0.143478,0.115152,0.00517663,0.00776473
5,5,0.153065,0.101249,0.00457376,0.00686045
5,5,0.148071,0.105002,0.00763359,0.0114501
5,5,0.150733,0.129619,-0.00759128,-0.0113866
5,5,0.155174,0.0719796,0.0128755,0.0193128
5,5,0.149075,0.0950788,0.0133948,0.0200917
5,5,0.141923,-0.0256335,0.106764,0.16014
5,5,0.149564,0.0483497,0.0401628,0.0602424
5,5,0.162816,0.0780034,0.0182927,0.0274382
5,5,0.143859,0.0775127,0.0328436,0.049264
5,5,0.159237,0.102723,0.00212409,0.00318605
5,5,0.152745,0.0799566,0.0151291,0.022693
5,5,0.169168,0.0773357,0.0215976,0.0323954
5,5,0.152903,0.0628655,0.0247379,0.0371059
5,5,0.153789,0.0744706,0.0236322,0.0354474
5,5,0.151964,0.101912,0.00933743,0.0140058
5,5,0.154614,0.10958,-0.000264985,-0.000397467
5,5,0.155788,0.0941099,-0.00279445,-0.00419157
5,5,0.142467,0.0822506,0.0291923,0.0437872
5,5,0.149628,0.0799225,0.0210948,0.0316414
5,5,0.149229,0.108097,0.00439512,0.0065925
5,5,0.145052,-0.00844782,0.106556,0.159828
5,5,0.148628,0.00307785,0.0817433,0.122611
5,5,0.156992,0.0413851,0.0490956,0.0736412
5,5,0.142352,0.0989383,0.00419716,0.00629557
5,5,0.144452,0.0956783,0.00418831,0.00628228
5,5,0.150978,0.0969009,0.00173994,0.00260983
5,5,0.136157,0.103928,0.0199786,0.0299671
5,5,0.152039,-0.0196381,0.147844,0.221754
5,5,0.152981,0.0931083,-0.000692129,-0.00103816
5,5,0.15426,0.0687262,0.0313584,0.0470359
5,5,0.16114,-0.0297916,0.117076,0.175606
5,5,0.156493,0.118451,0.000210867,0.000316289
5,5,0.17022,0.0570589,0.0148993,0.0223483
5,5,0.177064,-0.0586993,0.159972,0.239945
5,5,0.159612,0.00876656,0.0545266,0.0817873
5,5,0.159553,-0.00565931,0.0623991,0.0935956
5,5,0.165743,-0.0128922,0.0873457,0.131013
5,5,0.169676,0.00552486,0.0937203,0.140574
5,5,0.156342,0.10187,0.0103279,0.0154913
5,5,0.151732,0.0934804,-0.00466149,-0.00699204
5,5,0.153956,0.0979496,-0.000419243,-0.000628848
5,5,0.153288,0.0778219,0.00470318,0.00705458
5,5,0.163617,0.0429164,0.0413234,0.0619831
5,5,0.155074,0.048517,0.0360563,0.0540827
5,5,0.15921,0.0505968,0.0404324,0.0606465
5,5,0.153713,0.0466662,0.0377953,0.0566911
5,5,0.160149,0.0688181,0.0282332,0.0423484
5,5,0.161577,0.0295208,0.0544769,0.0817125
5,5,0.164465,-0.0686579,0.134036,0.201045
5,5,0.158198,-0.0144568,0.0769231,0.11538
5,5,0.155381,-0.0186125,0.0885874,0.132876
